,the_geom,NAME
792,POINT (-74.01886659003142 40.63691073946762),5 AVE OVER LIRR NYCT SEA BCH
5239,POINT (-73.9752634280417 40.76204942259536),5 AVE PRESBY CHURCH
5967,POINT (-73.97086203668798 40.76597804145025),5 AVE SYNAGOGUE
773,POINT (-74.00118990827289 40.65388124745211),5 AVENUE OVER GREENWOOD CMTRY
19386,POINT (-73.90881704693518 40.802759031147474),5 BOROUGH SHOPS
4336,POINT (-73.99749075994475 40.7161881858265),5 PRECINCT
11009,POINT (-73.9808488597584 40.723627361629326),5 ST SLOPE GARDEN
6173,POINT (-73.97100233678238 40.75611063578229),50 NYC AN AFFINIA HOTEL
7005,POINT (-73.90258193601622 40.88359645836992),50 PRECINCT
815,POINT (-73.97981240970769 40.62666628990331),50 ST OVER LIRR BAY RDGE LINE
9718,POINT (-74.01678097568883 40.71155147846599),500 GATEWAY PLAZA
413,POINT (-73.94940655042124 40.741534860550566),51 AV FOOTBRIDGE
939,POINT (-73.94965727829683 40.7413470904741),51 AVENUE PED BRIDGE OVER LIRR
1781,POINT (-73.87968590754137 40.86914226286289),52 PRECINCT
817,POINT (-73.9822185096484 40.62631956023426),52 ST OVER LIRR BAY RDGE LINE
974,POINT (-73.96120339285595 40.753885331516244),53 STREET TUBE
408,POINT (-73.88019487961948 40.732556700450274),55 AVENUE PED BRIDGE OVER LIRR
18132,POINT (-74.00625634659511 40.7177072740025),56 LEONARD BUILDING
427,POINT (-73.88554527904063 40.72872839057678),57 AVENUE OVER CSX TRANSPORT
5130,POINT (-73.9822803317522 40.68153629162467),572 WARREN STREET HOUSES
10144,POINT (-73.96908999205313 40.76202872380792),58TH STREET LIBRARY
482,POINT (-73.94596965934616 40.75303307364884),59 BR RAMP MNBD 11 ST OVR TRRN
481,POINT (-73.94546607951762 40.75125496795061),59 BR RAMP MNBD 21 OVR 21 STREET
480,POINT (-73.94053577072837 40.74768882911132),59 BR RAMP MNBD THOM AV OV JCKSN
484,POINT (-73.94014855942636 40.746434020055524),59 BR RAMP QNBD THOM AV OV JCKSN
483,POINT (-73.94291891381111 40.75143318497577),59 BR RAMP QNBD TO 21 OV 22
305,POINT (-73.96198078860307 40.760145239527425),59 BR RP OV GAR AT 2 AV MN
18100,POINT (-74.0098697147496 40.63689707374391),59 ST LUTHERAN BRETHREN CHURCH
1538,POINT (-74.14399647256816 40.654856489022386),6
793,POINT (-74.01602675934221 40.636158530606494),6 AVE OVER LIRR NYCT SEA BCH
16270,POINT (-73.99533672781148 40.73893470567165),6 AVENUE ELEMENTARY SCHOOL
731,POINT (-73.97388985920095 40.682472039496204),6 AVENUE OVER LIRR ATLNTC AVE
17221,POINT (-73.98315190958567 40.767542821539955),6 COLUMBUS HOTEL
4038,POINT (-74.00543085206752 40.73416855235378),6 PRECINCT
12664,POINT (-73.97612836899738 40.57650414678482),60 PRECINCT
442,POINT (-73.87321761942457 40.72991378053452),60 ROAD PED BRIDGE OVER LIRR
823,POINT (-73.9927588101097 40.62533556029429),60 ST OVER LIRR BAY RIDGE
434,POINT (-73.90576175959373 40.714614780416376),60 ST OVER LIRR MONTAUK LINE
973,POINT (-73.95748515291186 40.7584333192007),60 STREET TUBE
10558,POINT (-74.01623935087277 40.71141556192009),600 GATEWAY PLAZA
19732,POINT (-73.95736873016797 40.72755005150375),61 FRANKLIN STREET GARDEN
7980,POINT (-73.96046212685023 40.593983931723855),61 PRECINCT
2054,POINT (-74.00308457220422 40.60248524359008),62 PRECINCT
10495,POINT (-73.94164353437196 40.62795532394465),63 PRECINCT
972,POINT (-73.95566623346296 40.76012612976),63 STREET TUBE
330,POINT (-73.89975074988607 40.7401009505929),65 PLACE OVER I-278 BQE
405,POINT (-73.89929321049208 40.74241126982328),65 PLACE OVER LIRR
834,POINT (-73.98256592978754 40.614528170315545),65 ST OVER NYCT SEA BEACH
10301,POINT (-74.02876186252237 40.64250082912863),65 ST YARD
404,POINT (-73.90009437988503 40.74312734830435),65 STREET OVER LIRR
3078,POINT (-73.99140654062282 40.62570889534734),66 PRECINCT
940,POINT (-73.85590041105723 40.72351630463163),67 AVENUE PED BRIDGE OVER LIRR
12261,POINT (-73.95010200977917 40.64874866618415),67 PRECINCT
5984,POINT (-73.959536358123 40.764973572539084),67 STREET LIBRARY
2638,POINT (-74.02261792673737 40.639015900996),68 PRECINCT
6438,POINT (-73.90494767372486 40.648481977523126),69 PRECINCT
7124,POINT (-73.98391297433284 40.74133977676665),69 REGIMENT ARMORY
321,POINT (-73.89488849959952 40.72533552991815),69 ST OVER I-495 LIE
333,POINT (-73.89575398919578 40.74335153386266),69 STREET OVER I-278 BQE
431,POINT (-73.88739094021938 40.71520702054524),69 STREET OVR CSX TRANSPORT
2824,POINT (-73.98065694537398 40.723880073928704),6BC BOTANICAL GARDEN
795,POINT (-74.01319312003463 40.63540665978394),7 AVE OVER LIRR NYCT SEA BCH
777,POINT (-73.99894475023616 40.64917199974227),7 AVENUE OVER NYCT YARD
9536,POINT (-73.98385529296712 40.71638629423031),7 PRECINCT
9034,POINT (-73.97967687390708 40.7498772910064),70 PARK AVENUE HOTEL
5780,POINT (-73.97380269411491 40.630365046114264),70 PRECINCT
334,POINT (-73.89498291735583 40.7441286407245),70 STREET OVER I-278 BQE
5767,POINT (-73.91443073852825 40.68380950483373),700 DECATUR STREET BLOCK ASSOCIATION GARDEN
467,POINT (-73.87205470986504 40.70834429009886),71 AVENUE OVER COOPER AVENUE
12262,POINT (-73.94794452575745 40.664541144556516),71 PRECINCT
242,POINT (-73.97107425961504 40.77369904041535),72 CRSS DR OV PD PTH TO FOUNTN
12259,POINT (-74.0010558033285 40.658147442751606),72 PRECINCT
1661,POINT (-73.91367075105384 40.67081209615606),73 PRECINCT
7908,POINT (-73.88158824799055 40.67121896586292),75 PRECINCT
7993,POINT (-74.00023839801997 40.68386201283996),76 PRECINCT
2218,POINT (-73.96291856243701 40.67565802781223),77 PCT ANNEX
1566,POINT (-73.93020292716812 40.67469169029432),77 PRECINCT
9907,POINT (-73.97416500206161 40.68089117179769),78 PRECINCT
9498,POINT (-73.94470549106104 40.6888806917807),79 PRECINCT
281,POINT (-73.98438688946615 40.785879170289135),79 ST PED PZ OVR BOAT BSIN GRG
312,POINT (-73.98477804958925 40.78494577995005),79 ST RAMP TO HHP OV BOAT BSIN
313,POINT (-73.98491035009985 40.7853558902317),79 ST RMP TO GAR OV BT BASN GR
8788,POINT (-74.039467303048 40.63158859791717),79 STREET PLAYGROUND
282,POINT (-73.98456807959357 40.78554844999637),79 TRAF CIR OV 79 ST PED PLZ
796,POINT (-74.01052268001203 40.63446453038126),8 AVE OVER LIRR NYCT SEA BCH
409,POINT (-73.83325732443237 40.71175476230164),80 ROAD OVER LIRR
6266,POINT (-73.9857724421391 40.72759644453964),80 ST MARKS THEATRE
436,POINT (-73.86897763375605 40.706738020605755),80 ST OVER   77 AVE AND LIRR
10231,POINT (-73.9243411458554 40.689689289075034),81 PRECINCT
15356,POINT (-73.91667819445148 40.8230554322684),811 FAMILY AND FRIENDS GARDEN
410,POINT (-73.8319512206715 40.71074065102163),82 AVENUE OVER LIRR
5775,POINT (-73.91788218792928 40.69826080465002),83 PRECINCT
4990,POINT (-73.96860159767502 40.797030757865286),830 AMSTERDAM AVENUE HOUSES
10550,POINT (-73.98300384641543 40.6953157343129),84 PRECINCT
849,POINT (-73.97822476024018 40.59248504967273),86 ST OVER NYCT SEA BEACH LINE
1918,POINT (-73.96046716475719 40.69003497957581),88 PRECINCT
86,POINT (-73.99650894605668 40.67411066026367),9
779,POINT (-73.99470998902159 40.64631389023886),9 AVENUE OVER NYCT SUBWAY
778,POINT (-73.99456165030448 40.64649165968308),9 AVENUE OVER NYCT YARD
1045,POINT (-73.98785123455066 40.72650648239737),9 PRECINCT
11153,POINT (-73.97753062633448 40.72541876573185),9 ST COMMUNITY GARDEN PARK
14041,POINT (-74.01265741024932 40.71142030269414),9/11 MEMORIAL MUSEUM
10735,POINT (-73.83892575251814 40.58205530355626),9/11 TRIBUTE PARK
9040,POINT (-73.9506514668535 40.70641360752822),90 PRECINCT
941,POINT (-73.87410537490389 40.74296063703385),91 PLACE OVER LIRR PT WASH BR
10584,POINT (-73.95277678343045 40.78293967867342),92 ST Y NURSERY SCHOOL
10804,POINT (-73.95272736018205 40.78302347098667),92 ST YMYWHA
829,POINT (-74.04115158736224 40.62056419264804),92 STREET PEDESTRIAN
5778,POINT (-73.95326353490485 40.726744602667985),94 PRECINCT
392,POINT (-73.87075336477936 40.743967775539424),94 ST FOOTBRIDGE
8209,POINT (-73.95179740771488 40.78601045549397),96 STREET LIBRARY
4184,POINT (-73.87132698518779 40.756159638256605),97 STREET BLOCK ASSOCIATION GARDEN
11816,POINT (-74.00389441668797 40.70636676693115),A A LOW BUILDING
10864,POINT (-73.92825593344166 40.67814753501222),A BETTER COMMUNITY GARDEN
6381,POINT (-73.86157359308199 40.75935565733381),A CHILDS PLACE DAY SCHOOL 108 ST
2400,POINT (-73.99138409604278 40.69025959937135),A FANTIS PAROCHIAL SCHOOL
18154,POINT (-74.09729152583938 40.5743893584802),A FRIENDLY FACE
5039,POINT (-73.89398669709685 40.842770286401986),A H MURPHY HOUSES BUILDING 1
4236,POINT (-73.89437443670059 40.84303738770515),A H MURPHY HOUSES COMPLEX
6282,POINT (-73.89488575535171 40.84316746709541),A MURPHY PROJECTS COMM CENTER
10034,POINT (-73.95023951277942 40.81837927176506),A PHILIP RANDOLPH CAMPUS HIGH SCHOOL
12304,POINT (-73.93646560712772 40.82123882458787),A PHILIP RANDOLPH SENIOR CENTER
4214,POINT (-73.95245018561658 40.80388949408544),A PHILIP RANDOLPH SQUARE
10367,POINT (-73.82583860658538 40.757190405446984),A RUM NURSERY SCHOOL
11747,POINT (-73.7335232674014 40.71908829896807),A TO Z CENTER TOO DAY CARE
18064,POINT (-74.09877370325253 40.56348090117155),A VERY SPECIAL PLACE
7963,POINT (-73.94855201892135 40.57767222422029),A2Z HAPPYLAND MANHATTAN BEACH DAY SCHOOL
1072,POINT (-73.89800029785478 40.63792388424669),AAA SFARD CONGREGATION
16829,POINT (-73.96997145575864 40.75160275725506),AARON ELEMENTARY SCHOOL
16830,POINT (-73.9838476201752 40.7447011432484),AARON HIGH SCHOOL
9849,POINT (-73.98208810713099 40.74073711023558),ABBEY TAVERN
13330,POINT (-73.98850068277112 40.77620718082208),ABC 320 W 66 ST
2519,POINT (-73.94962035500778 40.724317755046165),ABC CHILD CENTER
1927,POINT (-73.96974117991434 40.64700772518237),ABC DAY CARE CENTER 1019 CHURCH
6062,POINT (-73.93812403378305 40.80571825451272),ABC ECHO PARK CHILDREN & FAMILY CENTER
9148,POINT (-73.95003495481926 40.778679950998345),ABC MERRICATS CASTLE SCHOOL
10297,POINT (-73.98802710222792 40.7756022177339),ABC NEWS 125 WEST END AV
9763,POINT (-73.97915370091943 40.77318266392706),ABC NEWS 24 W 67 ST
17692,POINT (-73.97946423418266 40.773358909812806),ABC NEWS 30 W 67 ST
9850,POINT (-73.97989680964255 40.77310381170227),ABC NEWS 47 W 66 ST
5165,POINT (-73.97913385575276 40.77279656890886),ABC NEWS 7 W 66 ST
9444,POINT (-73.98069722538817 40.77344092836018),ABC NEWS 77 W 66
12587,POINT (-73.98619949132735 40.7218520173092),ABC PLAYGROUND
7093,POINT (-73.89806671724037 40.73959899060916),ABC PRESCHOOL & KINDERGARTEN CENTER
7742,POINT (-73.91487667647557 40.80548064949975),ABC STEPPING STONE DAYCARE
