,the_geom,NAME
16640,POINT (-73.91823461899317 40.862667980608464),MANHATTAN CHRISTIAN ACADEMY
8269,POINT (-73.90161259575692 40.89055082323334),MANHATTAN COLL CHRYSOSTOM BLDG
12563,POINT (-73.90213050834276 40.890121200348794),MANHATTAN COLL DE LA SALLE HALL
10012,POINT (-73.89846345420202 40.89150698213281),MANHATTAN COLLEG CHRISTIAN BROTHERS CENTER
2533,POINT (-73.90195437429205 40.88981005267815),MANHATTAN COLLEGE
1915,POINT (-73.90119213179628 40.89083431726089),MANHATTAN COLLEGE ALUMNI HALL
15771,POINT (-73.89928014498186 40.88878660704095),MANHATTAN COLLEGE BROADWAY PARKING GARAGE
2232,POINT (-73.90017284188583 40.89079807277864),MANHATTAN COLLEGE DRADDY GYM
4331,POINT (-73.90167811449226 40.887751553437795),MANHATTAN COLLEGE GAELIC PARK
10106,POINT (-73.90094473334958 40.88932717540596),MANHATTAN COLLEGE HAYDEN HALL
18866,POINT (-73.8990416148536 40.89075055055496),MANHATTAN COLLEGE HORAN HALL
6958,POINT (-73.90221786996099 40.89043394510844),MANHATTAN COLLEGE JASPER HALL
4630,POINT (-73.89990827733256 40.89028185529344),MANHATTAN COLLEGE LEE HALL
3250,POINT (-73.90155623823537 40.886354579300466),MANHATTAN COLLEGE LEO HALL
9608,POINT (-73.9018339541289 40.8897153025472),MANHATTAN COLLEGE MEMORIAL HALL
10453,POINT (-73.90128499980396 40.88971635113432),MANHATTAN COLLEGE MIGUEL HALL
4887,POINT (-73.90061931098931 40.889788804419865),MANHATTAN COLLEGE OMALLEY LIBRARY
6906,POINT (-73.90425712628114 40.887300293748325),MANHATTAN COLLEGE OVERLOOK MANOR
16958,POINT (-73.90296468552974 40.88833285201509),MANHATTAN COLLEGE RAYMOND W KELLY 63 STUDENT COMMONS BUILDING
12096,POINT (-73.90087704380335 40.88608488072209),MANHATTAN COLLEGE RESEARCH & LEARNING CENTER
17117,POINT (-73.90107849290276 40.88593995613773),MANHATTAN COLLEGE RLC PARKING
7680,POINT (-73.90268959085441 40.886456485040625),MANHATTAN COLLEGE ROBERT MAHAN PHYSICAL PLANT
11380,POINT (-73.9011701886399 40.8903147273063),MANHATTAN COLLEGE SMITH AUDITORIUM
9972,POINT (-73.90070024532716 40.8901601406175),MANHATTAN COLLEGE THOMAS HALL
16740,POINT (-74.00506174028656 40.71389467839534),MANHATTAN COMMUNITY BOARD 1
16749,POINT (-73.94899075756793 40.80963960173127),MANHATTAN COMMUNITY BOARD 10
16750,POINT (-73.94285320230877 40.80034204633002),MANHATTAN COMMUNITY BOARD 11
16751,POINT (-73.93958953420878 40.839250368981396),MANHATTAN COMMUNITY BOARD 12
16741,POINT (-73.99831313392795 40.727998595068875),MANHATTAN COMMUNITY BOARD 2
16742,POINT (-73.99087594268299 40.72695029296691),MANHATTAN COMMUNITY BOARD 3
16743,POINT (-73.99148208436064 40.75765316540862),MANHATTAN COMMUNITY BOARD 4
16744,POINT (-73.9906210235282 40.7514131383484),MANHATTAN COMMUNITY BOARD 5
16745,POINT (-73.96611397062574 40.75238229955083),MANHATTAN COMMUNITY BOARD 6
16746,POINT (-73.97655846760188 40.789050937318244),MANHATTAN COMMUNITY BOARD 7
16747,POINT (-73.96937091427411 40.76298912294752),MANHATTAN COMMUNITY BOARD 8
16748,POINT (-73.95728097562197 40.815551727280265),MANHATTAN COMMUNITY BOARD 9
11034,POINT (-74.01186489572196 40.72009271367203),MANHATTAN COMMUNITY COLLEGE PARKING LOT
4350,POINT (-74.01116772081346 40.718904207632924),MANHATTAN COMMUNITY COLLEGE VEHICLE ENTRANCE
4546,POINT (-73.98433418732877 40.73272266160678),MANHATTAN COMPREHENSIVE NIGHT & DAY HIGH SCHOOL
8427,POINT (-73.95498021442928 40.787784745759005),MANHATTAN COUNTRY SCHOOL
4089,POINT (-73.99691073470714 40.76845958161253),MANHATTAN CRUISE TERMINAL
1311,POINT (-73.99418761418657 40.75291145029289),MANHATTAN CTR AUDITORIUM
16406,POINT (-73.98412813617485 40.78206614727888),MANHATTAN DAY SCHOOL YESHIVA OHR TORAH
2297,POINT (-73.9318493228326 40.803314903309946),MANHATTAN DEPOT
9535,POINT (-74.00046541637883 40.716560559323746),MANHATTAN DETENTION COMPLEX
16261,POINT (-74.00153512581942 40.71136745925207),MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING
11828,POINT (-73.9635612791148 40.764181268576976),"MANHATTAN EYE, EAR, & THROAT HOSPITAL"
7563,POINT (-74.00271407982302 40.71646809732689),MANHATTAN FAMILY COURT
13363,POINT (-73.96283112771572 40.76881345606383),MANHATTAN HIGH SCHOOL FOR GIRLS
13544,POINT (-73.9620588330338 40.765001412720146),MANHATTAN HOUSE BUILDING
12127,POINT (-73.95957561380679 40.765632257352316),MANHATTAN INTERNATIONAL HIGH SCHOOL
18846,POINT (-73.97323742572482 40.787206876553476),MANHATTAN JEWISH EXPERIENCE
17852,POINT (-73.98472604853251 40.73440832696705),MANHATTAN KOREAN PRESBYTERIAN CHURCH
2235,POINT (-73.99551730691933 40.70952664127589),MANHATTAN MINI STORAGE 220 SOUTH ST
9550,POINT (-73.98746318764263 40.747759030715464),MANHATTAN NURSERY SCHOOL
13934,POINT (-73.94810428680084 40.76482803992212),MANHATTAN PARK THEATER CLUB
13859,POINT (-73.9570601784383 40.8147424867587),MANHATTAN PENTECOSTAL CHURCH
13869,POINT (-73.92956275004147 40.78925318892153),MANHATTAN PSYCHIATRIC CENTER
6006,POINT (-73.99673286909612 40.759930897542645),MANHATTAN S TASK FORCE
7355,POINT (-73.98781036789914 40.725690392032966),MANHATTAN SCHOOL FOR CAREER DEVELOPMENT
3238,POINT (-73.96154686076098 40.81257124817966),MANHATTAN SCHOOL OF MUSIC
10027,POINT (-74.00277451318172 40.73618116121604),MANHATTAN SEVEN DAY ADVENTIST CHURCH
8944,POINT (-73.93527488528854 40.80198087924019),MANHATTAN SPANISH CHURCH 7 DAY ADVENTIST
16820,POINT (-73.98356249279075 40.776364186637906),MANHATTAN STAR ACADEMY
11529,POINT (-73.96452893447916 40.80024319657037),MANHATTAN VALLEY SENIOR CENTER
13788,POINT (-73.99217873629254 40.74195019391769),MANHATTAN VILLAGE ACADEMY HIGH SCHOOL
4344,POINT (-73.95772252262645 40.81925312240818),MANHATTANVILLE BUS DEPOT
15203,POINT (-73.95446828346509 40.81777437741648),MANHATTANVILLE COMMUNITY CENTER
8360,POINT (-73.90873270608624 40.88126129711834),MANHATTANVILLE HEALTH CARE CENTER
8821,POINT (-73.95533924900279 40.81668054822744),MANHATTANVILLE HOUSES
8954,POINT (-73.9566657583624 40.81700561903456),MANHATTANVILLE HOUSES BLDG 2
5087,POINT (-73.9548866823541 40.816309603154295),MANHATTANVILLE HOUSES BLDG 3
3060,POINT (-73.95506906629312 40.81708367433088),MANHATTANVILLE HOUSES BLDG 4
8520,POINT (-73.95681097960043 40.81635439005476),MANHATTANVILLE HOUSES BUILDING 1
3189,POINT (-73.95399005564174 40.817526188501205),MANHATTANVILLE HOUSES BUILDING 5
4741,POINT (-73.95484635482146 40.817893976334595),MANHATTANVILLE HOUSES BUILDING 6
8017,POINT (-73.9532743121903 40.81130331736251),MANHATTANVILLE POST OFFICE
8545,POINT (-73.95427606172407 40.8183339726372),MANHATTANVILLE REHABS 3
9627,POINT (-73.95357934545268 40.818765764700395),MANHATTANVILLE REHABS GROUP 2
13970,POINT (-73.95375800729897 40.81888407450704),MANHATTANVILLE REHABS GROUP 2 BUILDING 1
13971,POINT (-73.95351021516905 40.818770566910594),MANHATTANVILLE REHABS GROUP 2 BUILDING 2
13972,POINT (-73.95288303925243 40.81858193353957),MANHATTANVILLE REHABS GROUP 2 BUILDING 3
13968,POINT (-73.95426332560771 40.818252179342615),MANHATTANVILLE REHABS GROUP 3 BUILDING 1
13969,POINT (-73.95404290925853 40.81858182739137),MANHATTANVILLE REHABS GROUP 3 BUILDING 2
9754,POINT (-73.81432395747801 40.82919197438335),MANHEM BEACH CLUB
6274,POINT (-73.81436303166274 40.82917494544217),MANHEM BEACH CLUB HOUSE
6083,POINT (-73.8143292658533 40.82914036413389),MANHEM BEACH CLUB STORAGE
6707,POINT (-73.81398996597702 40.8293312423162),MANHEM CLUB BEACH
7309,POINT (-73.87845621593452 40.674631280715225),MANLEYS PLACE COMMUNITY GARDEN
18549,POINT (-73.79655046091 40.75795592920202),MANNA PRESBYTERIAN CHURCH NY
17696,POINT (-73.99658133736607 40.73652836385815),MANNES SCHOOL OF MUSIC
17845,POINT (-73.99911790660342 40.74786347197199),MANOR COMMUNITY CHURCH
13501,POINT (-74.12695232328227 40.58848121539657),MANOR PARK
8081,POINT (-74.12171433800053 40.61155579574816),MANOR ROAD SEVENTH DAY ADVENTIST CHURCH
13045,POINT (-74.1017418492803 40.56010093293631),MANRESA K C COUNCIL
5546,POINT (-73.98110172832864 40.75507793445618),MANSFIELD HOTEL
9737,POINT (-74.13984735117782 40.54448478530866),MANSION MARINA
11787,POINT (-73.82148773187107 40.712112749229256),MANTON PLAYGROUND
2797,POINT (-73.88279871042715 40.747582056574984),MANUEL DE DIOS UNANUE TRIANGLE
2775,POINT (-73.88586892317831 40.847140916347655),MAPES BALLFIELD
10857,POINT (-73.88629859284228 40.846591736518974),MAPES POOL
12190,POINT (-73.82419417652517 40.70728000980935),MAPLE GROVE CEMETERY
1619,POINT (-73.82382072745392 40.708108873597595),MAPLE GROVE CEMETERY POND
11302,POINT (-73.82408320915306 40.71188663172989),MAPLE GROVE PARK
11788,POINT (-73.82626709121928 40.75586622787248),MAPLE PLAYGROUND
19159,POINT (-73.95278709927645 40.6608695829561),MAPLE STREET COMMUNITY GARDEN
2839,POINT (-74.0881847192372 40.61115283837445),MAPLE WOODS
7804,POINT (-73.98944015416946 40.623091396481215),MAPLETON LIBRARY
18116,POINT (-73.77696372247094 40.6919467119029),MARANTHA FRENCH 7 DAY CHURCH
19936,POINT (-73.88202375729642 40.70497955682489),MARANZANO PLAYGROUND BASKETBALL COURTS
19935,POINT (-73.8814279552664 40.704805491223986),MARANZANO PLAYGROUND HANDBALL COURTS
1919,POINT (-73.98711862460804 40.74565923324273),MARBLE COLLEGIATE CHURCH
15063,POINT (-73.90805422900671 40.87643806823581),MARBLE HILL COMMUNITY CENTER
14231,POINT (-73.91288932778404 40.877271905322466),MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES
10491,POINT (-73.90869424362405 40.87447730646486),MARBLE HILL HOUSES
11914,POINT (-73.90884130631993 40.874669128117795),MARBLE HILL HOUSES BUILDING 1
13385,POINT (-73.90892277127276 40.87461758385751),MARBLE HILL HOUSES BUILDING 1
7442,POINT (-73.90808486757822 40.87656105986684),MARBLE HILL HOUSES BUILDING 10
13382,POINT (-73.90806364863967 40.876591487543635),MARBLE HILL HOUSES BUILDING 10
15064,POINT (-73.90736009516033 40.87690458512444),MARBLE HILL HOUSES BUILDING 11
3412,POINT (-73.90738600886328 40.87720536819481),MARBLE HILL HOUSES BUILDING 11
15065,POINT (-73.90839597631918 40.87462102042896),MARBLE HILL HOUSES BUILDING 12
15059,POINT (-73.9083822799043 40.874582159007595),MARBLE HILL HOUSES BUILDING 12
9831,POINT (-73.90829411023543 40.87427203357143),MARBLE HILL HOUSES BUILDING 2
3088,POINT (-73.90836479844171 40.87429242079448),MARBLE HILL HOUSES BUILDING 2
13384,POINT (-73.90771195354321 40.87396783720839),MARBLE HILL HOUSES BUILDING 3
4544,POINT (-73.90768130094212 40.87401319629946),MARBLE HILL HOUSES BUILDING 3
4512,POINT (-73.9069086292287 40.87392104162254),MARBLE HILL HOUSES BUILDING 4
12056,POINT (-73.90669704709447 40.87466417166904),MARBLE HILL HOUSES BUILDING 5
9342,POINT (-73.90652136981292 40.87545552612232),MARBLE HILL HOUSES BUILDING 6
5255,POINT (-73.90699382811754 40.87592296469686),MARBLE HILL HOUSES BUILDING 7
15062,POINT (-73.90660205772119 40.876259384800015),MARBLE HILL HOUSES BUILDING 7
9692,POINT (-73.90748352486246 40.875796807088044),MARBLE HILL HOUSES BUILDING 8
8535,POINT (-73.90750272055385 40.87582497852948),MARBLE HILL HOUSES BUILDING 8
10013,POINT (-73.90821462642857 40.87518291983789),MARBLE HILL HOUSES BUILDING 9
13383,POINT (-73.90814887943448 40.87532695186507),MARBLE HILL HOUSES BUILDING 9
7143,POINT (-73.9069743304892 40.875938003080265),MARBLE HILL HOUSES CHILDRENS CTR
13194,POINT (-73.90656958217343 40.8763695271731),MARBLE HILL NURSERY SCHOOL
6788,POINT (-73.90804145488599 40.87770939358366),MARBLE HILL PLAYGROUND
2342,POINT (-73.90807380852404 40.87648920155743),MARBLE HILL SENIOR CENTER
20272,POINT (-73.94946608493989 40.663476641907025),MARC & JASONS PLAYGROUND
20246,POINT (-73.94990240218806 40.663485031908515),MARC & JASONS PLAYGROUND COMFORT STATION
9679,POINT (-73.90654285991843 40.85508483209861),MARC ACADEMY & FAMILY CENTER
19764,POINT (-73.79544070976398 40.69366260153213),MARCONI PARK
19655,POINT (-73.79515314621231 40.69356237496324),MARCONI PARK ATHLETIC FIELD
19654,POINT (-73.79558095522484 40.693298732490206),MARCONI PARK COMFORT STATION
19656,POINT (-73.79569264620496 40.69436585710057),MARCONI PARK COURT
19653,POINT (-73.79584081409523 40.693176086101595),MARCONI PARK PLAYGROUND
14706,POINT (-73.91497841392341 40.669935439372956),MARCUS GARVEY COMMUNITY CENTER
8168,POINT (-73.91440248416342 40.670412348824286),MARCUS GARVEY HOUSES BLDG 1
10770,POINT (-73.91517143622745 40.67011200017452),MARCUS GARVEY HOUSES BLDG 2
2406,POINT (-73.91591277130809 40.66975551690034),MARCUS GARVEY HOUSES BLDG 3
17780,POINT (-73.94366947993939 40.8044855222367),MARCUS GARVEY PARK
17784,POINT (-73.94534319452487 40.80413134599265),MARCUS GARVEY PARK BASEBALL FIELD
17783,POINT (-73.94318862530216 40.80285860512129),MARCUS GARVEY PARK DOG RUN
17781,POINT (-73.94227373019325 40.80536021086533),MARCUS GARVEY PLAYGROUND 124 ST NEAR MADISON AV
17782,POINT (-73.94363283602996 40.805917453145284),MARCUS GARVEY PLAYGROUND 124 ST NEAR MT MORRIS PARK W
5874,POINT (-73.94343348059051 40.80522311461439),MARCUS GARVEY POOL
12011,POINT (-73.91436714493278 40.67046362410229),MARCUS GARVEY SENIOR CENTER
8872,POINT (-73.94951988209206 40.68822557616814),MARCY AV-GREENE AV SITE A HOUSES
6323,POINT (-73.95049301703148 40.68802015049831),MARCY AV-GREENE AV SITE B HOUSES
12136,POINT (-73.95309448625949 40.70315664564456),MARCY AVE 47 REGIMENT ARMORY
8131,POINT (-73.95047055439402 40.69825017040245),MARCY CHILDREN'S CTR
11175,POINT (-73.95703357020743 40.70936252025188),MARCY GREEN CENTER
11613,POINT (-73.95665394130476 40.709992890111664),MARCY GREEN NORTH
2898,POINT (-73.95736505455008 40.70883642742489),MARCY GREEN SOUTH PARK
5922,POINT (-73.95137516489473 40.69784130584976),MARCY HOUSES
3388,POINT (-73.95043347084973 40.699479371039025),MARCY HOUSES BUILDING 1
11360,POINT (-73.95194397664899 40.699174711252894),MARCY HOUSES BUILDING 10
9066,POINT (-73.95164339858015 40.69769575687594),MARCY HOUSES BUILDING 11
9480,POINT (-73.95221565377875 40.69844413498315),MARCY HOUSES BUILDING 12
8835,POINT (-73.95288739061581 40.69919934734666),MARCY HOUSES BUILDING 13
5183,POINT (-73.95285815342045 40.69876890717987),MARCY HOUSES BUILDING 14
1654,POINT (-73.9526770006 40.69788937916942),MARCY HOUSES BUILDING 15
9962,POINT (-73.95255404016932 40.69749039692196),MARCY HOUSES BUILDING 16
8581,POINT (-73.95001422538512 40.69729093719845),MARCY HOUSES BUILDING 17
9513,POINT (-73.94973037274356 40.69630801745728),MARCY HOUSES BUILDING 18
9645,POINT (-73.95036632575693 40.69669610570333),MARCY HOUSES BUILDING 19
7134,POINT (-73.95039977328913 40.69906816348386),MARCY HOUSES BUILDING 2
9101,POINT (-73.9508978966684 40.69706774198634),MARCY HOUSES BUILDING 20
1618,POINT (-73.9504624640514 40.695911406978134),MARCY HOUSES BUILDING 21
3201,POINT (-73.95110205890256 40.69643049092097),MARCY HOUSES BUILDING 22
3708,POINT (-73.95153347079611 40.69700986114398),MARCY HOUSES BUILDING 23
5536,POINT (-73.95145732878122 40.695807659701224),MARCY HOUSES BUILDING 24
1900,POINT (-73.9519250674503 40.69652328643533),MARCY HOUSES BUILDING 25
7172,POINT (-73.95256724362238 40.696969354855675),MARCY HOUSES BUILDING 26
6749,POINT (-73.9523383222857 40.695982443156225),MARCY HOUSES BUILDING 27
12045,POINT (-73.95014504072638 40.69831024905895),MARCY HOUSES BUILDING 3
8795,POINT (-73.95009247880719 40.69776779596512),MARCY HOUSES BUILDING 4
4091,POINT (-73.95079422715332 40.69854432048947),MARCY HOUSES BUILDING 5
3797,POINT (-73.95131588568665 40.69929188107013),MARCY HOUSES BUILDING 6
2182,POINT (-73.9510139988079 40.697741319987145),MARCY HOUSES BUILDING 7
11126,POINT (-73.95157348461584 40.698675137846884),MARCY HOUSES BUILDING 8
3233,POINT (-73.95145884549972 40.69829700607105),MARCY HOUSES BUILDING 9
10705,POINT (-73.95128250535946 40.691589068104506),MARCY LIBRARY
3925,POINT (-73.95808039493629 40.70748684770627),MARCY PARK SOUTH
11164,POINT (-73.95110122226734 40.69545304132627),MARCY PLAYGROUND
15907,POINT (-73.93398062632396 40.859620066448315),MARGARET CORBIN CIRCLE
261,POINT (-73.93278882948673 40.862949290008956),MARGARET CORBIN OV FT TRYON PL
19918,POINT (-73.82494648417399 40.76315449921768),MARGARET I CARMAN GREEN
16625,POINT (-73.88569868670616 40.87944928347758),MARGARET J MACK TRIANGLE
16046,POINT (-73.80192166606692 40.71426152142212),MARGARET TIETZ NURSING AND REHABILITATION CENTER
10861,POINT (-73.91717456129756 40.677427601915504),MARGE MATTHEWS GARDEN
205,POINT (-73.93295648010997 40.862599130042945),MARGRTCRBN DR OV PDPTH NR N ENTR
204,POINT (-73.93248182014078 40.860856610327),MARGT CRBN DR OV PED PTH NR CAFE
20123,POINT (-73.92386340050085 40.70317144375144),MARIA HERNANDEZ PARK
20087,POINT (-73.92403357570487 40.70299649893837),MARIA HERNANDEZ PARK COMFORT STATION
20088,POINT (-73.92300270382704 40.70373918824747),MARIA HERNANDEZ PARK DOG RUN
7698,POINT (-73.92345580836057 40.70356555949949),MARIA HERNANDEZ PARK PLAYGROUND IRVING AV
5281,POINT (-73.92425077120946 40.70278053947677),MARIA HERNANDEZ PARK PLAYGROUND KNICKERBOCKER ST
11476,POINT (-73.90686325142323 40.813039150465826),MARIA ISABEL SENIOR CENTER
9720,POINT (-73.93465052840607 40.694581697892694),MARIA LAWTON SENIOR CENTER
19914,POINT (-73.77174184612208 40.75692440523274),MARIE CURIE PARK
2857,POINT (-73.77199758013768 40.75690292181456),MARIE CURIE PLAYGROUND
6189,POINT (-73.86469664292424 40.668842218716456),MARIE DURDIN CCC
13046,POINT (-73.90589458955839 40.876420264990955),MARIE SMITH ACADEMY
9178,POINT (-74.0100525753771 40.64927564754877),MARIEN HEIM SENIOR CENTER
10239,POINT (-73.97160154410808 40.62704113464788),MARIEN HEIM TOWER & SENIOR CENTER
16552,POINT (-73.95712717092879 40.61896673248893),MARILYN DAVID IVDU UPPER SCHOOL
10683,POINT (-74.1407241737517 40.54398324931062),MARINA CAFE
13690,POINT (-73.81448746411425 40.814308950146824),MARINA DEL REY
18256,POINT (-74.02391370922673 40.64555230127444),MARINE AVIATION
13163,POINT (-74.07345350183779 40.63235081642687),MARINE AVIATION PIER 10
12994,POINT (-74.07314976034792 40.63659266633456),MARINE AVIATION PIER 7
13164,POINT (-74.07326618565652 40.63487760686517),MARINE AVIATION PIER 8
13165,POINT (-74.07306569283203 40.63371749316056),MARINE AVIATION PIER 9
1426,POINT (-73.99463033079262 40.589012820662745),MARINE BASIN MARINA
7555,POINT (-74.01444381979445 40.70106728885135),MARINE INSPECTION OFC
1713,POINT (-74.01012375667028 40.70867479149758),MARINE MIDLAND BUILDING
20157,POINT (-73.91899235262184 40.59663717457064),MARINE PARK
13137,POINT (-73.92981633125719 40.60475610793559),MARINE PARK AVENUE U
20128,POINT (-73.93657595893438 40.6086164537748),MARINE PARK BASKETBALL COURT
7308,POINT (-73.93169715107256 40.60337148257836),MARINE PARK BOATS
20126,POINT (-73.9300417390764 40.604350126976826),MARINE PARK COMFORT STATION
17157,POINT (-73.9356260762132 40.60620588331402),MARINE PARK CRICKET FIELDS
4341,POINT (-73.91430820553882 40.60044438554482),MARINE PARK GOLF COURSE
13090,POINT (-73.93014579532112 40.60416496571813),MARINE PARK INLET
13186,POINT (-73.93317352772654 40.60878927496488),MARINE PARK JEWISH CENTER
20129,POINT (-73.93539436075922 40.60846211576846),MARINE PARK TENNIS COURTS
3802,POINT (-73.88557711399237 40.574065661340455),MARINE PARKWAY BRIDGE FOG SIGNAL
154,POINT (-73.88644479606167 40.575810245351704),MARINE PY-GIL HODGES BR BIKE
155,POINT (-73.88366328863745 40.57120288683844),MARINE PY-GIL HODGES BR BIKE
60,POINT (-73.88632525364005 40.575841062819215),MARINE PY-GIL HODGES MEMORIAL
43,POINT (-73.8835129582936 40.57123147087077),MARINE PY-GIL HODGES MEMORIAL
17867,POINT (-73.94299206708848 40.77950096437028),MARINE TRANSFER STATION UPPER EAST SIDE
6320,POINT (-74.16349974756898 40.631712009772144),MARINER'S HARBOR HOUSES
1811,POINT (-74.1648565604734 40.633093641921086),MARINER'S HARBOR HSES BLDG 1
5798,POINT (-74.1633600696587 40.63251086402385),MARINER'S HARBOR HSES BLDG 10
10057,POINT (-74.1640354307297 40.632380878136345),MARINER'S HARBOR HSES BLDG 11
11235,POINT (-74.16463833062838 40.63250422384442),MARINER'S HARBOR HSES BLDG 12
8636,POINT (-74.1649205604345 40.63181461762798),MARINER'S HARBOR HSES BLDG 13
6506,POINT (-74.16429421787535 40.631752711261),MARINER'S HARBOR HSES BLDG 14
9623,POINT (-74.16390237086328 40.63150326112137),MARINER'S HARBOR HSES BLDG 15
12372,POINT (-74.16337544494873 40.631360581865174),MARINER'S HARBOR HSES BLDG 16
6561,POINT (-74.16269839923349 40.63138428847556),MARINER'S HARBOR HSES BLDG 17
10101,POINT (-74.16206841171538 40.63139592183482),MARINER'S HARBOR HSES BLDG 18
6844,POINT (-74.16209967538641 40.63060167522715),MARINER'S HARBOR HSES BLDG 19
4632,POINT (-74.1643694332963 40.63309313210644),MARINER'S HARBOR HSES BLDG 2
12390,POINT (-74.16256468199892 40.63060231252297),MARINER'S HARBOR HSES BLDG 20
11972,POINT (-74.16303024577351 40.63068267901002),MARINER'S HARBOR HSES BLDG 21
3794,POINT (-74.16349507914623 40.63070113434638),MARINER'S HARBOR HSES BLDG 22
9922,POINT (-74.16388145124884 40.633106000803735),MARINER'S HARBOR HSES BLDG 3
8631,POINT (-74.16339688047546 40.63312341986961),MARINER'S HARBOR HSES BLDG 4
6052,POINT (-74.1627589144183 40.632912311403274),MARINER'S HARBOR HSES BLDG 5
9965,POINT (-74.1621283918498 40.63313850086701),MARINER'S HARBOR HSES BLDG 6
6965,POINT (-74.16227613856299 40.632637030187226),MARINER'S HARBOR HSES BLDG 7
11493,POINT (-74.16204406066889 40.632007243063704),MARINER'S HARBOR HSES BLDG 8
11988,POINT (-74.16261592044229 40.632098873775355),MARINER'S HARBOR HSES BLDG 9
11548,POINT (-73.96969414380283 40.78398681193533),MARINERS GATE PLAYGROUND
3095,POINT (-74.16327757081945 40.63256529138441),MARINERS HARBOR COMMNITY CENTER
17399,POINT (-74.15857767187988 40.626527724776594),MARINERS HARBOR FINANCE POST OFFICE
1704,POINT (-74.16183652635544 40.63845229390607),MARINERS HARBOR MARI
4142,POINT (-74.16048953931814 40.63655918715159),MARINERS HARBOR PLAYGROUND
5282,POINT (-74.17129535295427 40.64186318845422),MARINERS HARBOR YACHT CLUB
8397,POINT (-74.16999993036889 40.644199923753675),MARINERS HARBOR YC DAYBEACON 1
3712,POINT (-74.17013329563298 40.64426679261319),MARINERS HARBOR YC DAYBEACON 2
2741,POINT (-74.1749270918884 40.63749802460236),MARINERS MARSH PARK
13309,POINT (-73.99775319498141 40.712963215556684),MARINERS TEMPLE BAPTIST CHURCH
18571,POINT (-73.92354199239774 40.82620375802825),MARIO MEROLA BUILDING
1154,POINT (-73.91363791104675 40.68172415310884),MARION HOPKINSON PLAYGROUND
15391,POINT (-73.79201399490168 40.80540462095018),MARITIME COLL ADMINISTRATION BLG
10674,POINT (-73.7961380408104 40.807062212474506),MARITIME COLLEGE
20468,POINT (-73.79721659562568 40.8066177197566),MARITIME COLLEGE ACADEMIC CENTER
5550,POINT (-73.79581537618998 40.80791569357592),MARITIME COLLEGE BAYLIS HALL
8390,POINT (-73.79207270753051 40.806139234708525),MARITIME COLLEGE CHAPEL
13928,POINT (-73.79101981331905 40.80527285378532),MARITIME COLLEGE CLASSROOMS
18865,POINT (-73.79549638439471 40.80794562543251),MARITIME COLLEGE E & F RESIDENCE HALL
13929,POINT (-73.79187914124861 40.805675073944954),MARITIME COLLEGE FORT
3550,POINT (-73.79328312859305 40.80528385344269),MARITIME COLLEGE GARAGES
18793,POINT (-73.79287000504222 40.80546213164081),MARITIME COLLEGE INFORMATION TECHNOLOGY
5678,POINT (-73.79868202571313 40.809000158008224),MARITIME COLLEGE MARVIN HALL
5018,POINT (-73.79617558833483 40.806217772705104),MARITIME COLLEGE MCMURRAY HALL
2450,POINT (-73.79320476565216 40.80485248753321),MARITIME COLLEGE OIL PUMP HOUSE
7611,POINT (-73.79448688206432 40.80728281343439),MARITIME COLLEGE PAINT SHOP
6309,POINT (-73.79280954178819 40.80635167835695),MARITIME COLLEGE PHYSICAL PLANT
2008,POINT (-73.80101366444204 40.80922491536308),MARITIME COLLEGE POLICE
11942,POINT (-73.79231266832804 40.80439626098118),MARITIME COLLEGE POWER PLANT
12248,POINT (-73.7930675133533 40.80663392199127),MARITIME COLLEGE QUARTERS 1
3474,POINT (-73.79417703845925 40.80549907812992),MARITIME COLLEGE QUARTERS 11
2314,POINT (-73.79418304538444 40.80653456425426),MARITIME COLLEGE QUARTERS 2
7449,POINT (-73.79435468031731 40.80626039955683),MARITIME COLLEGE QUARTERS 3
10120,POINT (-73.79452198959805 40.806020557475904),MARITIME COLLEGE QUARTERS 5
9938,POINT (-73.79410483346912 40.80579044412598),MARITIME COLLEGE QUARTERS 56
11881,POINT (-73.79467379941184 40.805773368869346),MARITIME COLLEGE QUARTERS 7
13930,POINT (-73.79801881753676 40.80760877602742),MARITIME COLLEGE REINHART FIELD
12002,POINT (-73.79625534601094 40.80724093225176),MARITIME COLLEGE RESIDENCE HALL A & B
7654,POINT (-73.7949400017143 40.806569880905506),MARITIME COLLEGE RESIDENCE HALL C & D
4474,POINT (-73.79458981734 40.80744998791851),MARITIME COLLEGE RESIDENCE HALL G
4671,POINT (-73.79422517649171 40.80725848164833),MARITIME COLLEGE RESIDENCE HALL H
8171,POINT (-73.79708040233277 40.808130447781714),MARITIME COLLEGE RIESENBERG HALL
9437,POINT (-73.79530027127129 40.807092014618256),MARITIME COLLEGE SHIP'S STORE
15390,POINT (-73.79143442578375 40.805714859399245),MARITIME COLLEGE STEPHEN B LUCE LIBRARY
5186,POINT (-73.79055957147862 40.804916066233496),MARITIME COLLEGE STOCK ROOM
18518,POINT (-73.79813437119128 40.80894797490608),MARITIME COLLEGE TODE HALL
6510,POINT (-73.79554366072853 40.80719640372657),MARITIME COLLEGE VANDER CLUTE HALL
18858,POINT (-73.79065521380495 40.805910192766014),MARITIME COLLEGE VOLLEYBALL COURT
